required_items,confirmed_items,departure_in_minutes,eta_delta_minutes,route_minutes,pm25_ug_m3,voc_index,vibration_rms,tamper_score,separation_m,late_label,readiness_label,exposure_label
7,7,2,5,18,54.0,181,0.83,0.25,9.19,0,0,1
3,0,33,13,74,61.7,23,0.96,0.4,13.29,1,0,1
7,5,26,11,61,17.4,137,0.13,0.82,3.79,1,0,0
4,4,12,14,41,19.7,159,0.43,0.56,11.73,1,1,0
5,4,43,12,87,76.9,250,0.98,0.57,12.53,1,0,1
7,7,33,6,23,21.7,67,1.4,0.62,4.7,0,1,1
6,5,38,5,82,56.7,33,0.91,0.18,4.88,0,0,1
6,6,45,15,81,27.5,112,0.76,0.61,2.73,1,1,0
3,1,30,13,29,28.8,114,0.12,0.93,12.13,1,0,1
5,5,37,1,73,12.2,50,0.87,0.08,0.35,0,1,0
6,6,22,1,74,31.3,182,1.61,0.41,9.9,0,1,1
4,1,1,18,27,62.9,280,0.26,0.04,1.69,1,0,1
4,2,42,-1,56,32.8,180,0.75,0.21,15.99,0,0,1
4,1,15,16,50,49.4,184,0.42,0.54,7.11,1,0,1
3,0,44,9,72,53.0,274,0.95,0.46,1.74,1,0,1
5,5,16,-2,62,68.6,207,0.2,0.52,16.86,0,1,1
4,1,43,0,29,44.1,289,1.43,0.19,15.11,0,0,1
6,5,4,4,90,27.5,78,0.59,0.44,3.89,1,0,0
3,1,38,16,55,50.9,258,1.62,0.68,4.28,1,0,1
5,3,15,11,10,67.9,76,1.42,0.7,8.42,1,0,1
6,5,38,18,60,32.6,289,1.59,0.46,7.47,1,0,1
4,3,13,18,24,47.4,278,1.75,0.61,11.41,1,0,1
3,3,8,18,20,52.8,316,0.18,0.81,10.07,1,1,1
7,5,10,1,20,74.4,118,1.0,0.19,16.97,0,0,1
6,6,1,16,33,67.8,191,0.87,0.11,14.0,1,0,1
5,4,45,15,78,64.3,126,0.26,0.86,17.93,1,0,1
6,5,27,3,69,23.0,271,1.01,0.59,14.95,0,0,1
4,2,16,10,59,18.6,116,1.71,0.91,10.55,1,0,1
4,1,29,2,38,52.2,217,1.21,0.67,0.56,0,0,1
3,2,27,17,76,58.5,205,0.23,0.19,8.18,1,0,1
3,3,38,13,54,10.1,93,0.26,0.36,13.54,1,1,0
6,6,28,12,15,5.7,238,1.55,0.47,7.74,1,1,1
6,3,2,12,90,7.1,96,0.24,0.79,17.96,1,0,0
4,3,43,9,80,66.6,133,0.9,0.28,10.67,1,0,1
3,3,25,2,30,9.1,105,1.29,0.91,8.67,0,1,1
5,5,25,1,86,22.5,140,1.66,0.21,3.82,0,1,1
3,0,27,12,34,47.0,174,1.65,0.26,14.95,1,0,1
6,6,3,7,64,74.0,294,1.19,0.58,5.42,0,0,1
4,1,14,11,71,65.6,28,0.86,0.9,16.89,1,0,1
5,3,24,14,20,21.9,290,0.64,0.51,9.54,1,0,1
5,2,20,0,78,70.7,187,1.48,0.08,8.86,0,0,1
4,4,15,9,69,34.3,301,1.61,0.3,16.77,1,1,1
3,2,19,10,31,8.4,201,0.82,0.35,15.89,1,0,1
5,4,34,18,39,74.2,93,0.94,0.82,13.2,1,0,1
7,6,41,18,52,61.1,85,0.28,0.83,4.66,1,0,1
5,2,1,16,74,32.1,227,0.18,0.94,10.73,1,0,1
4,3,31,7,42,67.3,303,1.44,0.83,6.79,0,0,1
7,7,11,13,70,73.0,277,1.22,0.36,4.68,1,1,1
6,6,29,16,71,34.4,228,1.73,0.57,0.24,1,1,1
3,2,38,14,53,73.9,63,0.58,0.61,6.13,1,0,1
5,2,19,10,63,59.2,266,1.59,0.68,1.7,1,0,1
7,4,38,2,42,69.0,307,0.18,0.01,14.23,0,0,1
3,3,45,6,21,55.3,305,1.64,0.84,0.65,0,1,1
5,3,33,-1,82,65.0,196,1.32,0.66,1.2,0,0,1
7,7,7,7,79,5.8,59,1.65,0.03,9.98,0,1,1
6,3,29,10,32,63.4,78,0.62,0.6,3.86,1,0,1
3,2,20,5,33,68.6,253,1.57,0.43,10.97,0,0,1
6,5,14,15,47,28.7,287,1.56,0.21,5.01,1,0,1
4,1,14,14,81,73.2,150,0.74,0.86,10.4,1,0,1
3,3,32,6,10,56.3,207,0.21,0.18,2.91,0,1,1
4,3,33,3,87,13.5,126,0.72,0.21,2.14,0,0,0
4,2,5,14,41,31.9,274,1.48,0.68,1.62,1,0,1
7,6,18,3,38,51.9,76,0.23,0.89,16.15,0,0,1
6,6,5,6,37,45.4,87,1.4,0.74,16.83,0,1,1
6,3,18,14,47,72.5,114,1.6,0.46,15.84,1,0,1
7,7,6,9,45,33.7,163,1.5,0.88,4.33,1,1,1
4,2,30,8,27,37.0,72,1.4,0.13,7.0,1,0,1
5,5,11,15,76,39.3,284,0.55,0.53,13.44,1,1,1
6,3,7,0,12,4.6,57,0.33,0.29,14.91,0,0,0
3,2,13,17,10,13.7,177,0.62,0.85,6.29,1,0,0
6,5,15,1,44,50.2,34,0.98,0.17,8.65,0,0,1
7,4,14,15,11,51.2,103,0.28,0.64,7.91,1,0,1
7,7,12,4,85,39.7,273,0.43,0.75,7.46,0,1,1
7,6,8,9,24,26.5,54,0.56,0.71,4.77,1,0,0
7,4,45,12,47,23.9,41,0.52,0.46,1.4,1,0,0
4,3,28,-1,11,64.3,265,1.72,0.49,14.01,0,0,1
5,4,14,16,66,31.2,113,1.23,0.85,15.0,1,0,1
7,4,29,1,41,33.6,74,1.74,0.62,8.56,0,0,1
4,1,6,2,61,66.0,315,0.66,0.89,1.3,1,0,1
4,4,3,11,64,45.4,269,1.1,0.07,9.79,1,0,1
4,2,44,13,13,54.3,101,0.5,0.05,9.39,1,0,1
5,2,13,3,21,44.8,195,1.15,0.53,9.9,0,0,1
5,2,25,13,37,47.2,320,0.75,0.2,4.05,1,0,1
5,2,9,12,67,72.9,28,0.98,0.85,10.61,1,0,1
3,1,28,8,26,70.5,246,1.79,0.69,14.61,1,0,1
5,5,45,6,46,71.6,87,0.83,0.56,17.73,0,1,1
6,5,2,10,15,58.0,189,0.52,0.09,17.52,1,0,1
3,1,28,11,15,74.8,207,0.75,0.83,5.48,1,0,1
6,6,31,6,42,56.8,234,1.44,0.57,14.39,0,1,1
4,4,38,1,72,75.5,295,0.56,0.11,5.41,0,1,1
3,2,20,3,37,7.9,59,1.19,0.71,5.13,0,0,1
6,3,34,0,57,49.9,93,1.25,0.28,1.23,0,0,1
7,6,14,-1,61,18.7,56,1.72,0.12,14.3,0,0,1
3,2,27,1,58,5.9,92,0.44,0.84,16.56,0,0,0
5,5,6,11,23,58.7,47,1.37,0.21,11.57,1,1,1
5,5,31,9,34,45.3,113,0.41,0.73,5.28,1,1,1
3,3,10,16,29,25.0,41,0.2,0.34,7.19,1,1,0
3,3,3,18,50,29.6,109,0.89,0.27,16.77,1,0,1
7,5,13,14,85,46.8,256,0.5,0.37,9.13,1,0,1
3,1,43,0,35,19.8,142,1.43,0.73,6.3,0,0,1
7,4,42,1,50,70.3,283,0.26,0.08,14.69,0,0,1
3,2,1,1,90,55.0,57,1.12,0.48,5.0,1,0,1
3,0,45,16,84,18.0,191,0.34,0.44,17.78,1,0,1
3,1,15,4,80,47.4,24,0.29,0.14,17.04,0,0,1
5,5,5,14,54,61.6,75,0.57,0.16,14.47,1,1,1
7,4,45,9,28,18.1,55,1.75,0.45,7.6,1,0,1
5,4,12,7,13,11.9,116,1.19,0.83,9.39,0,0,1
7,4,17,-1,60,31.0,65,1.75,0.91,2.66,0,0,1
3,1,18,-1,26,12.5,314,1.54,0.45,15.26,0,0,1
6,6,11,4,79,74.9,74,1.05,0.24,13.88,0,1,1
4,4,21,17,81,57.4,298,0.91,0.22,5.34,1,1,1
5,5,26,-2,77,29.1,81,0.16,0.12,15.18,0,1,1
4,2,23,3,16,36.8,154,1.4,0.01,16.68,0,0,1
4,3,20,10,42,39.0,66,1.33,0.46,0.36,1,0,1
5,4,27,10,58,60.9,230,0.63,0.12,13.0,1,0,1
4,4,28,11,27,71.2,218,1.54,0.61,11.82,1,1,1
4,3,32,3,69,41.1,135,0.1,0.23,4.55,0,0,1
5,3,43,7,29,74.2,69,1.18,0.55,5.84,0,0,1
4,3,33,11,44,32.1,75,0.21,0.88,8.72,1,0,1
3,2,23,5,11,70.4,228,0.57,0.49,16.73,0,0,1
6,3,32,-1,39,77.2,122,1.61,0.94,15.46,0,0,1
3,0,40,11,57,46.5,188,0.12,0.31,16.64,1,0,1
7,6,40,2,28,27.3,83,1.26,0.32,17.09,0,0,1
3,2,40,11,8,45.8,298,1.1,0.73,13.38,1,0,1
5,3,41,14,16,76.1,48,0.36,0.92,6.08,1,0,1
3,2,21,15,11,66.3,132,1.03,0.35,11.02,1,0,1
5,5,12,17,54,43.7,112,0.4,0.19,17.44,1,1,1
4,1,29,12,21,59.9,214,0.95,0.74,12.73,1,0,1
4,2,30,3,19,54.7,241,0.31,0.31,17.99,0,0,1
4,1,22,4,69,23.8,241,0.98,0.69,0.9,0,0,1
4,1,23,12,49,17.6,193,0.66,0.86,9.86,1,0,1
5,4,38,11,20,36.6,31,0.72,0.32,6.6,1,0,1
7,7,9,17,77,48.8,95,0.65,0.08,12.31,1,1,1
7,5,18,0,49,69.2,129,1.59,0.35,6.43,0,0,1
6,6,3,3,48,48.7,75,1.35,0.03,15.79,0,0,1
7,7,34,7,23,66.7,203,0.78,0.1,16.23,0,1,1
5,4,28,15,44,17.5,244,0.42,0.31,10.68,1,0,1
5,2,23,14,20,17.7,55,0.88,0.67,6.24,1,0,0
7,4,28,6,22,68.1,79,0.61,0.4,17.53,0,0,1
4,2,17,15,55,55.5,203,0.43,0.07,4.18,1,0,1
5,4,34,7,17,70.1,192,0.25,0.15,13.25,0,0,1
6,3,17,14,27,13.1,44,1.41,0.95,12.06,1,0,1
6,3,10,7,59,71.6,31,1.79,0.63,13.06,0,0,1
5,3,42,-1,42,28.8,313,0.23,0.28,0.99,0,0,1
6,4,11,17,19,16.8,133,0.87,0.46,1.7,1,0,0
3,3,5,8,77,66.9,88,1.32,0.35,16.01,1,1,1
7,6,21,3,32,64.3,311,1.51,0.94,17.59,0,0,1
7,5,33,-2,73,12.1,69,0.58,0.06,6.81,0,0,0
6,5,40,9,70,35.8,20,1.2,0.45,2.13,1,0,1
7,4,42,10,47,38.1,76,1.41,0.09,17.63,1,0,1
4,1,38,-2,86,61.2,180,0.38,0.42,15.15,0,0,1
5,5,7,15,78,47.0,183,0.21,0.43,3.76,1,1,1
6,3,37,-1,90,18.2,45,1.66,0.25,13.33,0,0,1
5,2,10,14,10,20.9,169,1.62,0.35,17.43,1,0,1
3,3,3,12,57,11.0,297,0.43,0.86,10.11,1,0,1
4,1,37,0,70,70.3,196,0.44,0.93,13.24,0,0,1
3,2,42,0,21,72.0,114,0.78,0.18,4.84,0,0,1
5,3,25,-1,58,50.3,49,1.62,0.64,9.11,0,0,1
3,0,38,4,19,28.3,170,0.94,0.93,17.8,0,0,1
5,2,2,15,31,67.7,200,0.2,0.28,12.54,1,0,1
5,5,13,17,79,77.2,312,0.67,0.48,1.2,1,1,1
6,5,23,1,84,64.2,136,0.29,0.05,1.34,0,0,1
3,2,26,7,30,72.2,182,0.65,0.46,16.94,0,0,1
7,4,32,13,16,22.8,288,1.71,0.81,12.24,1,0,1
7,7,18,6,80,40.0,288,1.73,0.21,5.47,0,1,1
7,7,18,1,42,63.2,181,0.52,0.61,1.41,0,1,1
6,6,1,4,46,60.2,38,1.57,0.65,15.15,0,0,1
3,1,10,15,54,35.3,193,0.78,0.7,17.61,1,0,1
3,0,39,5,59,72.0,25,1.71,0.44,9.18,0,0,1
7,7,11,13,81,72.3,173,0.45,0.91,9.09,1,1,1
4,1,36,12,53,64.8,77,0.41,0.56,3.42,1,0,1
5,2,45,15,61,14.2,210,0.81,0.82,0.4,1,0,1
3,2,0,10,8,34.9,181,0.76,0.57,8.98,1,0,1
5,4,18,14,54,42.3,24,1.14,0.02,11.39,1,0,1
6,4,20,15,73,66.5,67,1.18,0.81,8.6,1,0,1
4,3,26,4,24,28.0,138,0.24,0.18,12.83,0,0,0
7,5,18,-2,60,14.2,24,0.64,0.16,10.58,0,0,0
5,2,11,16,15,59.0,41,1.38,0.95,9.73,1,0,1
4,1,9,0,85,33.0,221,1.14,0.45,13.12,0,0,1
5,5,45,-1,46,9.8,47,1.54,0.79,11.77,0,1,1
3,3,20,16,24,52.3,278,1.38,0.35,15.39,1,1,1
3,2,43,0,25,77.7,240,0.81,0.57,14.98,0,0,1
4,3,31,18,16,53.4,136,0.53,0.81,2.62,1,0,1
7,7,37,7,17,40.2,120,1.56,0.94,0.78,0,1,1
6,3,12,1,11,74.2,188,1.5,0.85,6.2,0,0,1
4,4,28,12,86,40.6,172,0.91,0.86,9.46,1,1,1
5,2,23,12,88,59.9,133,1.11,0.12,14.77,1,0,1
4,4,32,-1,60,61.9,133,1.03,0.22,12.67,0,1,1
