contamination,pump_failure,dry_well,treatment_integrity,action
0.608,0.251,0.076,0.157,lab_test
0.378,0.541,0.498,0.428,pump_service
0.528,0.313,0.943,0.225,lab_test
0.372,0.655,0.832,0.406,pump_service
0.632,0.259,0.021,0.96,filter_change
0.076,0.757,0.041,0.303,pump_service
0.515,0.891,0.798,0.303,pump_service
0.018,0.748,0.741,0.924,filter_change
0.141,0.666,0.615,0.87,filter_change
0.841,0.762,0.843,0.09,pump_service
0.977,0.602,0.888,0.158,lab_test
0.516,0.879,0.957,0.609,pump_service
0.886,0.033,0.112,0.26,lab_test
0.867,0.709,0.428,0.907,filter_change
0.515,0.152,0.933,0.734,filter_change
0.985,0.775,0.504,0.887,lab_test
0.14,0.017,0.269,0.942,filter_change
0.096,0.752,0.538,0.139,pump_service
0.214,0.715,0.391,0.872,filter_change
0.06,0.574,0.845,0.244,pump_service
0.282,0.578,0.18,0.644,filter_change
0.914,0.323,0.177,0.872,lab_test
0.063,0.845,0.422,0.793,pump_service
0.378,0.95,0.653,0.594,pump_service
0.082,0.579,0.242,0.706,filter_change
0.322,0.234,0.148,0.259,lab_test
0.132,0.284,0.536,0.85,filter_change
0.771,0.365,0.916,0.354,lab_test
0.428,0.545,0.597,0.493,pump_service
0.66,0.203,0.218,0.339,lab_test
0.441,0.258,0.567,0.082,lab_test
0.425,0.459,0.602,0.15,pump_service
0.652,0.463,0.917,0.145,lab_test
0.403,0.777,0.927,0.804,pump_service
0.882,0.439,0.231,0.263,lab_test
0.633,0.659,0.426,0.197,pump_service
0.867,0.329,0.245,0.826,lab_test
0.771,0.668,0.789,0.618,lab_test
0.619,0.393,0.181,0.922,filter_change
0.115,0.767,0.321,0.744,pump_service
0.891,0.778,0.033,0.865,lab_test
0.237,0.271,0.976,0.836,filter_change
0.167,0.844,0.264,0.624,pump_service
0.809,0.079,0.19,0.135,lab_test
0.15,0.897,0.04,0.321,pump_service
0.842,0.031,0.46,0.826,lab_test
0.906,0.817,0.062,0.049,lab_test
0.736,0.461,0.49,0.676,lab_test
0.799,0.282,0.95,0.303,lab_test
0.864,0.086,0.047,0.598,lab_test
0.744,0.633,0.074,0.923,filter_change
0.915,0.896,0.701,0.017,pump_service
0.444,0.193,0.235,0.479,filter_change
0.848,0.641,0.969,0.355,lab_test
0.1,0.794,0.874,0.505,pump_service
0.238,0.637,0.26,0.402,pump_service
0.589,0.719,0.733,0.107,pump_service
0.402,0.511,0.314,0.076,pump_service
0.266,0.438,0.63,0.97,filter_change
0.21,0.567,0.215,0.139,pump_service
0.287,0.425,0.839,0.315,pump_service
0.939,0.776,0.403,0.87,lab_test
0.277,0.026,0.459,0.619,filter_change
0.683,0.025,0.023,0.681,lab_test
0.915,0.491,0.762,0.182,lab_test
0.151,0.466,0.952,0.124,pump_service
0.532,0.683,0.033,0.801,filter_change
0.2,0.823,0.598,0.061,pump_service
0.217,0.426,0.065,0.733,filter_change
0.426,0.138,0.222,0.679,filter_change
0.433,0.525,0.203,0.281,pump_service
0.24,0.445,0.146,0.037,pump_service
0.943,0.961,0.047,0.885,pump_service
0.299,0.535,0.514,0.088,pump_service
0.344,0.428,0.548,0.543,filter_change
0.367,0.516,0.126,0.698,filter_change
0.588,0.193,0.458,0.503,lab_test
0.494,0.234,0.486,0.557,filter_change
0.977,0.856,0.76,0.36,lab_test
0.518,0.329,0.594,0.783,filter_change
0.778,0.939,0.759,0.777,pump_service
0.461,0.233,0.379,0.522,filter_change
0.479,0.498,0.021,0.971,filter_change
0.383,0.332,0.839,0.393,pump_service
0.773,0.111,0.531,0.054,lab_test
0.505,0.788,0.272,0.644,pump_service
0.733,0.411,0.187,0.707,lab_test
0.863,0.93,0.975,0.868,pump_service
0.363,0.748,0.786,0.449,pump_service
0.887,0.137,0.74,0.698,lab_test
0.235,0.136,0.676,0.095,pump_service
0.311,0.902,0.733,0.391,pump_service
0.445,0.282,0.739,0.559,filter_change
0.621,0.238,0.919,0.265,lab_test
0.691,0.975,0.878,0.057,pump_service
0.541,0.712,0.452,0.273,pump_service
0.229,0.361,0.651,0.539,filter_change
0.837,0.277,0.66,0.963,filter_change
0.346,0.386,0.336,0.083,pump_service
0.199,0.776,0.319,0.26,pump_service
0.824,0.014,0.33,0.186,lab_test
0.366,0.143,0.698,0.277,lab_test
0.673,0.143,0.847,0.122,lab_test
0.779,0.159,0.437,0.602,lab_test
0.099,0.539,0.63,0.421,pump_service
0.736,0.537,0.053,0.76,filter_change
0.964,0.153,0.174,0.583,lab_test
