starts_per_hour,cavitation_score,pressure_rise_kpa,risk
11.03,45.49,212.6,0.768
8.79,89.02,110.5,0.99
8.91,34.14,168.7,0.61
13.78,22.72,134.7,0.799
13.35,47.65,159.2,0.865
11.48,67.86,103.9,0.99
6.21,2.34,200.3,0.275
14.43,37.08,214.1,0.816
16.34,14.39,190.6,0.705
8.15,29.85,86.6,0.885
8.03,4.92,49.1,0.86
2.99,29.19,68.5,0.79
3.07,79.03,108.3,0.99
9.33,57.12,207.9,0.8
3.48,21.67,194.9,0.333
16.46,88.52,135.1,0.99
7.24,17.92,203.9,0.429
14.01,52.41,182.5,0.92
5.43,50.7,203.2,0.621
2.85,58.65,73.4,0.99
15.24,79.73,155.9,0.99
8.41,2.04,128.9,0.487
7.11,38.01,54.0,0.99
16.64,49.59,141.1,0.99
15.32,85.15,138.9,0.99
10.25,80.47,107.1,0.99
16.31,2.31,183.3,0.611
9.97,59.13,218.3,0.837
4.74,38.7,183.9,0.506
13.69,49.8,179.9,0.889
12.51,82.57,157.0,0.99
7.18,27.25,54.8,0.977
3.1,4.04,215.6,0.184
3.39,57.27,64.1,0.99
17.43,50.61,71.9,0.99
15.05,81.71,216.0,0.99
4.8,38.24,158.9,0.509
5.8,54.08,166.2,0.659
13.78,78.28,175.2,0.99
5.85,71.78,118.1,0.988
3.88,1.97,152.0,0.231
7.09,8.93,128.2,0.5
8.05,30.9,141.9,0.638
10.16,50.33,217.7,0.776
16.38,28.38,197.0,0.814
6.36,89.02,50.4,0.99
6.41,88.53,159.1,0.949
13.01,19.42,61.9,0.99
17.31,6.26,71.6,0.99
8.32,77.82,162.3,0.926
17.97,74.03,118.7,0.99
16.49,30.08,49.3,0.99
17.31,83.71,158.9,0.99
9.16,19.36,79.5,0.87
2.15,8.92,126.2,0.344
16.24,88.56,132.6,0.99
12.45,44.45,179.7,0.807
13.01,93.56,192.2,0.99
12.52,56.08,70.4,0.99
9.02,42.53,67.8,0.99
4.43,39.08,71.6,0.9
11.61,31.16,217.8,0.677
12.63,49.08,118.1,0.99
7.66,19.04,213.3,0.452
16.53,61.76,157.0,0.99
3.45,51.44,70.1,0.969
6.51,55.77,70.6,0.99
4.96,69.39,127.3,0.898
16.12,15.13,55.9,0.99
16.95,57.83,164.8,0.99
10.46,14.12,216.0,0.507
9.42,86.37,66.3,0.99
5.68,52.16,84.6,0.983
15.61,24.77,54.2,0.99
3.77,25.82,210.6,0.374
15.93,63.62,116.8,0.99
1.7,79.0,62.7,0.99
4.4,41.33,195.2,0.515
4.11,5.93,203.3,0.233
1.14,69.75,65.3,0.99
6.08,19.72,119.0,0.591
16.66,79.8,136.5,0.99
2.49,16.69,93.2,0.565
14.5,87.01,44.6,0.99
6.68,91.21,67.2,0.99
2.36,25.25,200.1,0.323
5.47,68.51,61.4,0.99
12.19,16.06,147.1,0.639
13.62,83.47,118.5,0.99
17.74,38.6,210.9,0.938
16.54,94.87,59.1,0.99
5.65,66.13,199.4,0.747
5.36,72.99,125.9,0.945
1.07,8.08,41.3,0.687
4.89,88.61,162.3,0.895
15.67,87.04,110.7,0.99
12.84,62.18,164.5,0.956
2.57,84.41,68.3,0.99
8.57,65.32,174.0,0.838
15.05,29.67,93.6,0.99
13.37,4.47,197.2,0.53
6.36,37.28,96.3,0.838
13.13,16.52,64.4,0.99
2.13,12.44,152.2,0.252
17.81,0.56,123.2,0.815
7.04,29.45,101.9,0.775
