day,dry_spell_days,soil_deep_pct,runtime_min,risk
77,9,48.16,12.3,0.408
78,1,53.66,34.93,0.267
79,14,80.8,32.53,0.687
80,23,45.88,94.44,0.99
81,30,45.42,24.87,0.99
82,37,78.44,56.55,0.99
83,12,69.34,71.27,0.836
84,12,19.95,87.17,0.99
85,30,73.02,26.83,0.99
86,6,18.37,23.03,0.748
87,5,77.31,53.25,0.502
88,33,66.55,16.6,0.99
89,27,19.81,56.13,0.99
90,9,37.98,63.41,0.793
91,3,67.04,47.52,0.404
92,16,33.12,13.79,0.82
93,6,34.33,56.02,0.704
94,0,56.28,86.04,0.518
95,21,61.75,62.47,0.99
96,33,64.94,47.46,0.99
97,32,67.62,20.33,0.99
98,9,80.43,79.81,0.783
99,8,63.65,71.83,0.706
100,18,57.58,33.35,0.825
101,8,26.4,26.81,0.721
102,6,21.78,65.26,0.934
103,39,67.27,14.16,0.99
104,29,76.71,43.63,0.99
105,36,51.45,59.47,0.99
106,26,22.52,83.31,0.99
107,33,81.81,40.08,0.99
108,7,79.15,68.74,0.655
109,24,56.86,75.56,0.99
110,26,38.11,89.03,0.99
111,1,84.07,49.16,0.346
112,26,50.26,86.24,0.99
113,3,23.35,29.89,0.615
114,9,53.67,94.19,0.863
115,33,31.92,89.48,0.99
116,18,18.76,64.2,0.99
117,5,68.23,66.45,0.576
118,4,55.16,64.12,0.53
119,20,28.66,13.3,0.99
120,11,21.3,31.21,0.919
121,36,84.02,26.79,0.99
122,26,64.94,78.16,0.99
123,32,28.39,16.48,0.99
124,39,21.47,80.08,0.99
125,11,24.13,76.36,0.99
126,19,46.25,32.31,0.853
127,18,72.0,71.37,0.99
128,26,78.75,35.25,0.99
129,13,24.5,66.12,0.99
130,10,21.15,21.91,0.836
131,16,28.02,94.74,0.99
132,39,38.46,20.57,0.99
133,28,58.12,15.81,0.99
134,36,54.52,23.36,0.99
135,30,33.63,39.53,0.99
136,23,26.37,71.14,0.99
137,31,23.91,20.39,0.99
138,17,47.98,46.98,0.868
139,8,65.31,64.46,0.665
140,8,34.34,24.54,0.595
141,27,19.29,42.07,0.99
142,22,68.03,20.88,0.889
143,10,55.75,64.29,0.73
144,3,71.51,61.74,0.483
145,7,50.95,57.79,0.594
146,9,59.5,43.25,0.58
147,1,44.67,44.68,0.326
148,27,44.81,18.67,0.99
149,15,44.86,81.22,0.99
150,38,68.32,16.09,0.99
151,29,47.51,56.52,0.99
152,32,66.41,73.72,0.99
153,35,20.91,71.99,0.99
154,1,34.16,48.06,0.495
155,31,36.29,47.24,0.99
156,22,30.78,87.38,0.99
157,25,74.84,25.27,0.99
158,13,46.89,59.11,0.802
159,3,44.18,30.41,0.321
160,12,55.79,47.1,0.702
161,2,20.48,13.38,0.531
162,33,66.51,62.79,0.99
163,25,79.37,53.88,0.99
164,29,23.76,92.44,0.99
165,37,60.13,18.75,0.99
166,34,52.32,54.2,0.99
167,3,65.63,52.6,0.432
168,11,34.05,21.44,0.682
169,26,65.02,58.49,0.99
170,13,49.19,14.97,0.556
171,2,31.54,72.67,0.703
172,31,53.24,24.32,0.99
173,9,71.18,71.78,0.739
174,1,29.9,17.54,0.386
175,10,64.59,91.79,0.883
176,31,18.13,71.52,0.99
177,4,49.33,21.66,0.294
178,38,22.41,55.74,0.99
179,11,30.86,87.92,0.99
